creative_platform,payload_mb,useful_mb,wifi_ac_consumed_kWh,wifi_ac_mobile_rx_bytes,wifi_ac_mobile_tx_bytes,wifi_ac_kWh_per_mb,wifi_ac_kWh_per_useful_mb,wifi_ac_tx_consumed_kWh,wifi_ac_oh_consumed_kWh,wifi_ac_real_consumed_kWh,wifi_ac_real_kWh_per_mb,wifi_ac_real_kWh_per_useful_mb,wifi_ac_infra_consumed_kWh,wifi_ac_infra_kWh_per_mb,wifi_ac_infra_kWh_per_useful_mb,wifi_ac_device_consumed_kWh,wifi_ac_device_kWh_per_mb,wifi_ac_device_kWh_per_useful_mb,lte_consumed_kWh,lte_mobile_rx_bytes,lte_mobile_tx_bytes,lte_kWh_per_mb,lte_kWh_per_useful_mb,lte_tx_consumed_kWh,lte_oh_consumed_kWh,lte_real_consumed_kWh,lte_real_kWh_per_mb,lte_real_kWh_per_useful_mb,lte_infra_consumed_kWh,lte_infra_kWh_per_mb,lte_infra_kWh_per_useful_mb,lte_device_consumed_kWh,lte_device_kWh_per_mb,lte_device_kWh_per_useful_mb
html5__olipophtml,1.329459,1.960406,4.956593094017095e-08,1865549.0,571.0,3.728278265081582e-08,2.5283502978551865e-08,4.956593094017095e-08,1.9747402393163935e-08,4.956593094017095e-08,3.728278265081582e-08,2.5283502978551865e-08,6.152222222222386e-08,4.627613354170671e-08,3.138238825132338e-08,7.791111111111028e-09,5.8603620804485345e-09,3.974233455269484e-09,1.6715144305185184e-05,1865549.0,571.0,1.2572891909555078e-05,8.526368673216253e-06,1.6715144305185184e-05,0.0029326554194231474,1.6715144305185184e-05,1.2572891909555078e-05,8.526368673216253e-06,0.0029432643333333324,0.002213881235399762,0.001501354481333628,6.106230395000028e-06,4.593018961096227e-06,3.1147784668074e-06
html5__salvestborshtml,0.159798,0.412604,5.633827616334284e-09,211744.0,576.0,3.525593321777672e-08,1.3654321374330553e-08,5.633827616334284e-09,3.6162839050331197e-08,5.633827616334284e-09,3.525593321777672e-08,1.3654321374330553e-08,3.7811111111110446e-08,2.3661817489023923e-07,9.16401952261986e-08,3.985555555555034e-09,2.494121050047581e-08,9.659517492692832e-09,1.8977241525925925e-06,211744.0,576.0,1.1875769112207867e-05,4.599383798006302e-06,1.8977241525925925e-06,0.0005946667684785185,1.8977241525925925e-06,1.1875769112207867e-05,4.599383798006302e-06,0.000590831,0.003697361669107248,0.0014319565491367023,5.733492631111115e-06,3.587962697349851e-05,1.3895872631169632e-05
html5__trufruhtml,0.996132,1.517532,3.6996181310541314e-08,1392376.0,571.0,3.713983820471716e-08,2.4379177052306845e-08,3.6996181310541314e-08,2.366465202279137e-08,3.6996181310541314e-08,3.713983820471716e-08,2.4379177052306845e-08,5.398888888888756e-08,5.41985287982793e-08,3.557677128975702e-08,6.671944444445126e-09,6.697851734955936e-09,4.396575785186161e-09,1.2475643847481482e-05,1392376.0,571.0,1.2524087016059601e-05,8.221008748073505e-06,1.2475643847481482e-05,0.002188529247002516,1.2475643847481482e-05,1.2524087016059601e-05,8.221008748073505e-06,0.0021950113333333307,0.0022035346051861907,0.0014464349571101833,5.993557516666689e-06,6.01683061749516e-06,3.949542755386172e-06
html5__vitamixhtml,0.202202,0.490178,7.174799240265907e-09,269730.0,768.0,3.548332479533292e-08,1.4637130267506715e-08,7.174799240265907e-09,3.651270075973248e-08,7.174799240265907e-09,3.548332479533292e-08,1.4637130267506715e-08,3.9366666666664895e-08,1.9468979865018594e-07,8.031096186827009e-08,4.32083333333349e-09,2.1368895131272144e-08,8.814825090749668e-09,2.4169089284444444e-06,269730.0,768.0,1.1952942742625911e-05,4.930676057359662e-06,2.4169089284444444e-06,0.0009543360974622219,2.4169089284444444e-06,1.1952942742625911e-05,4.930676057359662e-06,0.0009510247499999996,0.004703339976854826,0.0019401620431761515,5.72825639066667e-06,2.8329375528761685e-05,1.1686074019369841e-05
html5hiili__ad1,0.442777,1.135153,1.2191511908831909e-08,446722.0,29355.0,2.7534203241884537e-08,1.0739972416786026e-08,1.2191511908831909e-08,3.182515475784149e-08,1.2191511908831909e-08,2.7534203241884537e-08,1.0739972416786026e-08,3.4477777777783356e-08,7.786713803513588e-08,3.0372802413228305e-08,9.53888888889004e-09,2.1543325170209928e-08,8.40317462834529e-09,4.00420419637037e-06,446722.0,29355.0,9.04338797265976e-06,3.5274577051466806e-06,4.00420419637037e-06,0.0017209200068946293,4.00420419637037e-06,9.04338797265976e-06,3.5274577051466806e-06,0.0017191916666666664,0.0038827483511263377,0.0015145021566843116,5.732544424333339e-06,1.2946798104538717e-05,5.0500191818489125e-06
html5hiili__ad10,0.433741,1.108309,1.1936694358974358e-08,437083.0,29358.0,2.7520327474170896e-08,1.0770186255795413e-08,1.1936694358974358e-08,4.078663897435701e-08,1.1936694358974358e-08,2.7520327474170896e-08,1.0770186255795413e-08,4.678888888888532e-08,1.0787287549225304e-07,4.221646570485787e-08,5.93444444444605e-09,1.3682000190081294e-08,5.354503522434673e-09,3.918151481703704e-06,437083.0,29358.0,9.033389699621903e-06,3.5352518852627777e-06,3.918151481703704e-06,0.0014340981707881854,3.918151481703704e-06,9.033389699621903e-06,3.5352518852627777e-06,0.0014322839333333337,0.0033021640410598346,0.0012923146282610117,5.7323889365555605e-06,1.3216156500205331e-05,5.172193798440291e-06
html5hiili__ad11,0.433795,1.108288,1.1938231225071226e-08,437149.0,29346.0,2.7520444507362293e-08,1.0771777033651205e-08,1.1938231225071226e-08,4.1018435441587214e-08,1.1938231225071226e-08,2.7520444507362293e-08,1.0771777033651205e-08,4.707777777777033e-08,1.0852540434484106e-07,4.247792791925053e-08,5.878888888888114e-09,1.355222833109675e-08,5.304477616727885e-09,3.918718844814815e-06,437149.0,29346.0,9.033573104380675e-06,3.535830799228012e-06,3.918718844814815e-06,0.0015412163257622956,3.918718844814815e-06,9.033573104380675e-06,3.535830799228012e-06,0.001539402666666666,0.003548686975798859,0.0013889915497295523,5.7323779404444504e-06,1.3214485967898317e-05,5.172281880201221e-06
html5hiili__ad12,0.433841,1.108299,1.1939360265906933e-08,437193.0,29348.0,2.7520128954863496e-08,1.0772688837495057e-08,1.1939360265906933e-08,4.1249806400759305e-08,1.1939360265906933e-08,2.7520128954863496e-08,1.0772688837495057e-08,4.717777777777732e-08,1.0874439662866655e-07,4.2567734679700446e-08,6.011388888888913e-09,1.385620282289805e-08,5.423977544768076e-09,3.9190976224444445e-06,437193.0,29348.0,9.033488357357752e-06,3.53613747052415e-06,3.9190976224444445e-06,0.0015251165983770003,3.9190976224444445e-06,9.033488357357752e-06,3.53613747052415e-06,0.001523303316666667,0.003511201838154225,0.00137445158451525,5.732379332777784e-06,1.3213088050179177e-05,5.172231800965068e-06
html5hiili__ad13,0.445000,1.141390,1.225409094017094e-08,449048.0,29352.0,2.753728301162009e-08,1.0736112056502109e-08,1.225409094017094e-08,4.057174239316591e-08,1.225409094017094e-08,2.753728301162009e-08,1.0736112056502109e-08,4.642222222222463e-08,1.0431960049938118e-07,4.067165668371427e-08,6.403611111112221e-09,1.4390137328342069e-08,5.61036202447211e-09,4.025254674074074e-06,449048.0,29352.0,9.045516121514773e-06,3.526625144844509e-06,4.025254674074074e-06,0.0014937165162124818,4.025254674074074e-06,9.045516121514773e-06,3.526625144844509e-06,0.0014920091833333336,0.0033528296254681654,0.001307186135618267,5.732587553222228e-06,1.2882219220724106e-05,5.022461694269468e-06
html5hiili__ad14,0.444904,1.141303,1.225099517568851e-08,448906.0,29398.0,2.753626664558761e-08,1.0734217973394016e-08,1.225099517568851e-08,4.0644838157643074e-08,1.225099517568851e-08,2.753626664558761e-08,1.0734217973394016e-08,4.7055555555552573e-08,1.057656383299601e-07,4.12296783199138e-08,5.840277777779008e-09,1.3127051628618776e-08,5.1172018103685066e-09,4.024035064592593e-06,448906.0,29398.0,9.044726647979323e-06,3.5258253632844154e-06,4.024035064592593e-06,0.001607659936980852,4.024035064592593e-06,9.044726647979323e-06,3.5258253632844154e-06,0.0016059513833333334,0.003609658225894425,0.001407120969044446,5.732588712111116e-06,1.2885001510687959e-05,5.022845565210217e-06
html5hiili__ad15,0.444753,1.141272,1.2247781766381767e-08,448795.0,29358.0,2.7538390446791288e-08,1.0731693905030322e-08,1.2247781766381767e-08,4.068971823361996e-08,1.2247781766381767e-08,2.7538390446791288e-08,1.0731693905030322e-08,4.710000000000163e-08,1.059014778989723e-07,4.1269741130950055e-08,5.8375000000000945e-09,1.3125262786310815e-08,5.114906875836868e-09,4.023077639925926e-06,448795.0,29358.0,9.045644750964977e-06,3.525082223979845e-06,4.023077639925926e-06,0.0016146056583044067,4.023077639925926e-06,9.045644750964977e-06,3.525082223979845e-06,0.0016128961499999993,0.00362649864081861,0.001413244301095619,5.7325859443333395e-06,1.2889369929676335e-05,5.022979573960755e-06
