id,consumed_J,consumed_kWh,infra_consumed_J,infra_consumed_kWh,device_consumed_J,device_consumed_kWh,tech,profile,sim_end_s,rx_total_bytes,mobile_rx_bytes,mobile_tx_bytes,send_attempts,send_ok,send_fail_notconn,send_fail_again,send_fail_other,send_fail_other_first_errno,send_fail_other_last_errno
html5__BqyudEaaTQxhhtml__wifi_ac,302.45,8.40138e-05,273.144,7.58734e-05,29.3055,8.14043e-06,wifi_ac,cli_profile,34.1835,6353650,6347854,5796,7708,4110,0,3598,0,-1,-1
html5__BqyudEaaTQxhhtml__lte,62951.7,0.0174866,62891.1,0.0174698,60.6135,1.68371e-05,lte,cli_profile,40.044,6353650,6347854,5796,2489049,4110,0,2484939,0,-1,-1
nexd__Milo_3in1_parallax_cube_GA_copy__wifi_ac,343.096,9.53043e-05,310.114,8.61427e-05,32.9817,9.16158e-06,wifi_ac,cli_profile,38.7524,704702,696084,8618,475,475,0,0,0,-1,-1
nexd__Milo_3in1_parallax_cube_GA_copy__lte,33236.4,0.00923233,33204.1,0.00922337,32.2678,8.96327e-06,lte,cli_profile,38.6624,704702,696084,8618,31500,475,0,31025,0,-1,-1
html5__DVYOW7I3lNZxhtml__wifi_ac,323.532,8.98699e-05,292.453,8.1237e-05,31.0786,8.63294e-06,wifi_ac,cli_profile,36.5266,1850398,1844036,6362,116931,1224,0,115707,0,-1,-1
html5__DVYOW7I3lNZxhtml__lte,36825.3,0.0102293,36790.5,0.0102196,34.8586,9.68296e-06,lte,cli_profile,36.4381,1850398,1844036,6362,203844,1224,0,202620,0,-1,-1
nexd__BBC_Good_Food_Carousel_Splitscreen_Hotspot__wifi_ac,341.432,9.48421e-05,308.565,8.57126e-05,32.8661,9.12948e-06,wifi_ac,cli_profile,38.5691,1769039,1758165,10874,1164,1164,0,0,0,-1,-1
nexd__BBC_Good_Food_Carousel_Splitscreen_Hotspot__lte,37845.6,0.0105127,37810.4,0.0105029,35.2378,9.78828e-06,lte,cli_profile,38.4791,1769039,1758165,10874,190764,1164,0,189600,0,-1,-1
html5__0ZhWb1hege2Ehtml__wifi_ac,295.615,8.21152e-05,267.212,7.42254e-05,28.4033,7.8898e-06,wifi_ac,cli_profile,33.361,3713315,3702217,11098,225755,2446,0,223309,0,-1,-1
html5__0ZhWb1hege2Ehtml__lte,45791.5,0.0127199,45747.9,0.0127077,43.6558,1.21266e-05,lte,cli_profile,36.754,3713315,3702217,11098,731139,2446,0,728693,0,-1,-1
